step,klcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,collisions_human,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,global_reward_mean,reward_mean,value_mean,ret_mean,adv_mean,explained_variance,rollout_end_time,policy_loss,kl,entropy,value_loss,gd_time,total_time
64,1.0842e-20,0.001,15.965,2000,2.52295,2.49247,3.20437,2.55403,589.625,533.938,2122.65,1922.17,27.75,13.375,1.38735e+06,78.5288,123.725,700,700,0.197594,0.00571601,0.349836,0.43842,0.0885806,0.068286,0.0485698,-0.0724895,1.35554e-10,0.498413,2.02111,0.231596,17045.5
65,5.42e-21,0.001,14.7612,2000,2.5694,2.53892,3.27031,2.6005,601.312,542,2164.72,1951.2,32.3125,15.5,1.40143e+06,71.9627,116.8,700,700,0.190219,0.000601975,0.358395,0.208666,-0.149736,0.0933161,0.0412746,0.150388,1.30877e-10,0.488014,2.6573,1.06086,
66,2.71e-21,0.001,13.4068,2000,2.72358,2.69316,3.33636,2.75467,624.75,565.688,2249.1,2036.47,33.5,17.125,1.43539e+06,63.6545,107.817,700,700,0.199094,0.00101945,0.365298,0.218512,-0.146782,0.10108,0.0374309,0.147526,-3.38277e-10,0.479521,1.93576,0.402158,
67,1.355e-21,0.001,13.4365,2000,2.56685,2.54635,3.27254,2.58779,601.625,543.75,2165.85,1957.5,30.5,17,1.40084e+06,71.5148,116.541,700,700,0.195625,0.000132405,0.345313,0.163984,-0.181327,0.120345,0.0536057,0.183473,-2.88968e-10,0.468882,1.61667,0.411686,
68,6.775e-22,0.001,13.8376,2000,2.68137,2.65298,3.31648,2.71034,624,566.938,2246.4,2040.97,30.3125,15.1875,1.42083e+06,65.6256,110.418,700,700,0.207687,0.0011305,0.338078,0.24556,-0.0925088,0.112186,0.0389036,0.0932255,-2.45827e-10,0.450622,1.72002,0.154448,
69,3.3875e-22,0.001,14.5623,2000,2.49761,2.47137,3.21665,2.52439,590.188,532.562,2124.68,1917.22,32.125,16.125,1.44666e+06,78.6378,124.18,700,700,0.185969,-0.00138894,0.30925,0.0583415,-0.250938,0.107414,0.0590583,0.259694,2.55346e-10,0.43352,2.01612,0.49596,
70,1.69375e-22,0.001,14.968,2000,2.55136,2.52755,3.26461,2.57557,601.312,541.938,2164.72,1950.97,31.9375,15.8125,1.40017e+06,71.8199,117.076,700,700,0.191125,-0.000556686,0.295738,0.125536,-0.170214,0.104405,0.0510136,0.174217,-5.39563e-11,0.411973,1.94918,0.340223,
71,8.46875e-23,0.001,15.4076,2000,2.63144,2.60842,3.30322,2.65489,617.188,557.75,2221.88,2007.9,31.625,16.25,1.35997e+06,65.7054,110.73,700,700,0.199813,0.00052195,0.268981,0.20537,-0.0636098,0.110263,0.0498704,0.066448,3.28849e-10,0.398376,1.83574,0.421987,
72,4.23437e-23,0.001,15.4278,2000,2.47749,2.45759,3.21332,2.4978,584.312,523.75,2103.52,1885.5,32.0625,16.375,1.39129e+06,77.3264,122.734,700,700,0.181719,-0.00136718,0.234305,0.0325633,-0.201751,0.113167,0.0462583,0.213283,1.13993e-09,0.377408,2.1045,0.188594,
73,2.11719e-23,0.001,14.5288,2000,2.48408,2.46276,3.16667,2.50579,587.812,528.75,2116.12,1903.5,31.625,15.625,1.41771e+06,82.7469,128.504,700,700,0.185312,-0.000957956,0.194526,0.0621935,-0.132344,0.0928145,0.0555333,0.145525,-1.24999e-10,0.369399,1.96894,0.491719,
74,1.05859e-23,0.001,15.3105,2000,2.36105,2.34073,3.04983,2.3817,561.438,505,2021.17,1818,26.75,13.4375,1.3853e+06,89.9555,136.203,700,700,0.185625,-0.000866029,0.165166,0.0239408,-0.141218,0.0379888,0.0488199,0.173583,-1.11253e-11,0.336894,1.95022,0.477203,
75,5.29297e-24,0.001,15.7349,2000,2.55493,2.52798,3.22687,2.58236,599.75,537.188,2159.1,1933.88,34.5625,16.125,1.37313e+06,72.5374,117.729,700,700,0.182188,-0.00109677,0.141471,0.057962,-0.0834998,0.0876054,0.0505267,0.103565,1.78775e-11,0.331834,2.14737,0.449643,
76,2.64648e-24,0.001,15.0855,2000,2.69014,2.66142,3.33061,2.71931,625.688,569.688,2252.47,2050.88,27.6875,12.625,1.36975e+06,63.5762,108.443,700,700,0.215625,0.0023765,0.116867,0.289592,0.172745,0.113004,0.0539861,-0.17191,2.20882e-10,0.314994,1.71779,0.454192,
77,1.32324e-24,0.001,14.9146,2000,2.63233,2.60702,3.31462,2.65804,618.5,556.125,2226.6,2002.05,34.5625,16.4375,1.35874e+06,64.3204,109.322,700,700,0.191656,-0.000199093,0.0847533,0.133866,0.0490917,0.109242,0.0588011,-0.0476896,1.92461e-10,0.302286,2.00911,0.403723,
78,6.61621e-25,0.001,15.3348,2000,2.4732,2.45279,3.2563,2.49395,588.312,528.188,2117.93,1901.47,30.75,15.375,1.32714e+06,72.4238,117.93,700,700,0.187219,-0.000621343,0.0459756,0.0557458,0.00974628,0.131964,0.0536223,-0.00510943,-1.62874e-10,0.290597,1.83439,0.499564,
79,3.30811e-25,0.001,15.6607,2000,2.60582,2.58192,3.29314,2.63004,613.5,551.688,2208.6,1986.08,33.0625,15.3125,1.3516e+06,64.6777,109.923,700,700,0.193188,-0.000129136,0.0365184,0.126009,0.0894727,0.114787,0.0540552,-0.0845389,2.35956e-10,0.278743,1.9365,0.506058,
80,1.65405e-25,0.001,15.3715,2000,2.41298,2.3958,3.10362,2.43042,571.938,514.938,2058.97,1853.77,28.8125,14.25,1.39401e+06,87.6883,133.697,700,700,0.185437,-0.000748908,0.00469536,0.0500534,0.0453499,0.0615773,0.0509325,-0.0238334,-1.08399e-10,0.264555,1.82171,0.500372,
