step,klcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,collisions_human,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,raw_reward_mean,raw_reward_sum,reward_mean,reward_sum,n_veh_step_mean,n_veh_step_sum,n_veh_unique,policy_loss,kl,entropy,gd_time,total_time
70,0,0.001,13.6192,2000,2.56073,2.4759,3.2386,2.65156,517.625,481.812,1863.45,1734.52,14.375,8.0625,1.54516e+06,120.4,159.714,700,700,0.204969,409.938,0.00931287,18.6257,20.3243,40648.6,268.125,-0.874738,1.33644e-10,0.865402,0.392075,16308.5
71,0,0.001,13.2154,2000,2.50373,2.42379,3.19492,2.58891,513.375,476.562,1848.15,1715.62,15.75,8.1875,1.51886e+06,118.322,158.278,700,700,0.198906,397.812,0.00824771,16.4954,20.5984,41196.9,266.375,-0.756843,-2.76113e-10,0.858743,0.558396,16530.8
72,0,0.001,13.706,2000,2.63232,2.55213,3.26257,2.71784,535.375,497.312,1927.35,1790.33,18,10.0625,1.53394e+06,110.809,150.393,700,700,0.203656,407.312,0.00888564,17.7713,20.4211,40842.2,278.188,-0.843738,-3.20102e-10,0.84429,0.535435,16751.6
73,0,0.001,13.6759,2000,2.59097,2.51076,3.24208,2.67625,533.375,495.5,1920.15,1783.8,16,8.125,1.51195e+06,113.003,153.057,700,700,0.20775,415.5,0.00941707,18.8341,20.6339,41267.8,276.312,-0.889882,-1.04888e-10,0.838769,0.562984,16971.9
74,0,0.001,13.8837,2000,2.42345,2.35408,3.04539,2.4969,510.812,470.125,1838.93,1692.45,18.6875,9.375,1.50976e+06,122.312,163.98,700,700,0.188344,376.688,0.00624804,12.4961,21.3704,42740.8,266.062,-0.521198,-3.06842e-10,0.833863,0.46002,17195.5
75,0,0.001,14.0473,2000,2.64117,2.56981,3.26311,2.71658,553.625,510.188,1993.05,1836.67,21.9375,11.5625,1.51741e+06,102.922,143.563,700,700,0.20025,400.5,0.00802355,16.0471,20.8729,41745.8,286.562,-0.739636,-5.12866e-10,0.813031,0.441681,17421.7
76,0,0.001,13.7593,2000,2.65995,2.59358,3.28375,2.72983,559.938,514.188,2015.78,1851.07,22.6875,12.3125,1.50459e+06,99.1766,139.905,700,700,0.200375,400.75,0.00794537,15.8907,20.8819,41763.8,289.062,-0.731345,3.27167e-10,0.799892,0.489616,17643.3
77,0,0.001,13.9582,2000,2.70189,2.63442,3.29033,2.77298,569.938,525.688,2051.78,1892.47,22.875,12.5,1.53335e+06,94.7453,135.716,700,700,0.205656,411.312,0.00867098,17.342,21.0105,42020.9,294.812,-0.829999,-1.53583e-10,0.787451,0.454478,17868.2
78,0,0.001,14.4793,2000,2.57214,2.50696,3.23536,2.64051,551.375,506.75,1984.95,1824.3,22.5,11.0625,1.53976e+06,98.6691,140.328,700,700,0.197125,394.25,0.00722379,14.4476,21.3167,42633.5,285.562,-0.689276,4.79968e-10,0.784253,-9.36238,18100.9
79,0,0.001,14.0339,2000,2.68455,2.6188,3.28363,2.75343,572.812,529.312,2062.12,1905.53,20.625,10,1.51734e+06,92.6098,134.064,700,700,0.213094,426.188,0.00961996,19.2399,21.2044,42408.8,296.062,-0.944818,-1.92631e-10,0.770653,0.439849,18326.4
80,0,0.001,14.263,2000,2.61816,2.55908,3.26863,2.68005,566.5,517.875,2039.4,1864.35,24.375,12.875,1.45707e+06,91.5426,133.325,700,700,0.198,396,0.00713294,14.2659,21.3703,42740.7,293.562,-0.657096,2.06516e-10,0.758312,0.441809,18556.1
81,0,0.001,14.9794,2000,2.63587,2.57869,3.27321,2.69554,575.062,528.625,2070.22,1903.05,22.9375,11.5625,1.49697e+06,88.2579,130.499,700,700,0.206969,413.938,0.00844932,16.8986,21.5621,43124.1,297.188,-0.77661,3.55798e-11,0.737554,0.617698,18786.3
82,0,0.001,14.0056,2000,2.67141,2.61377,3.28889,2.73136,585.75,535.062,2108.7,1926.23,24.6875,11.625,1.43392e+06,84.9473,127.238,700,700,0.205813,411.625,0.00816336,16.3267,21.5541,43108.2,302.438,-0.749608,-1.34402e-09,0.7257,0.476159,19011.9
83,0,0.001,14.5152,2000,2.47049,2.42407,3.15797,2.51884,551,502.25,1983.6,1808.1,24.125,13.0625,1.5002e+06,99.2889,142.78,700,700,0.190812,381.625,0.00571337,11.4267,22.198,44395.9,285.25,-0.463522,-8.58143e-10,0.703601,0.58095,19245.8
84,0,0.001,14.1402,2000,2.67962,2.62987,3.29179,2.73126,591.562,539.188,2129.62,1941.08,27.8125,14.3125,1.4773e+06,80.4966,123.096,700,700,0.200063,400.125,0.00707305,14.1461,21.6864,43372.8,305.375,-0.662756,-8.5443e-11,0.700803,0.0520267,19473.2
85,0,0.001,14.6872,2000,2.67347,2.62127,3.2926,2.72759,592.875,538.375,2134.35,1938.15,28.875,14.25,1.43253e+06,80.4815,123.142,700,700,0.197,394,0.00650899,13.018,21.7109,43421.9,306.188,-0.577597,-3.54641e-11,0.691253,0.435135,19709.2
86,0,0.001,15.1483,2000,2.49438,2.44811,3.18609,2.54237,560.188,507.625,2016.67,1827.45,26.125,13.3125,1.46142e+06,87.5834,131.122,700,700,0.1885,377,0.00509369,10.1874,22.1622,44324.4,289.188,-0.416782,6.81837e-10,0.683779,0.464296,19943.4
